Type,Rating,Coeff,Size ,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
0,0,0,3,4,24,53,82,110,134,151,155,147
0,0,1,3,0.7,0.81,0.73,0.76,0.75,0.66,0.6,0.5,0.54
0,0,2,3,0.449,0.455,0.395,0.417,0.423,0.313,0.256,0.188,0.203
0,0,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,4,10,51,101,152,206,258,304,321,304
0,0,1,4,0.72,0.84,0.79,0.75,0.71,0.63,0.58,0.53,0.55
0,0,2,4,0.445,0.471,0.481,0.417,0.37,0.276,0.225,0.191,0.196
0,0,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,6,34,115,201,309,452,601,750,882,836
0,0,1,6,0.83,0.83,0.8,0.78,0.76,0.69,0.59,0.52,0.54
0,0,2,6,0.444,0.608,0.574,0.485,0.441,0.316,0.227,0.176,0.182
0,0,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,8,89,222,377,578,833,1151,1513,1764,1825
0,0,1,8,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48
0,0,2,8,0.413,0.567,0.534,0.449,0.409,0.295,0.213,0.164,0.17
0,0,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,10,140,357,603,930,1398,1944,2670,3157,3421
0,0,1,10,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48
0,0,2,10,0.542,0.745,0.673,0.59,0.489,0.38,0.245,0.189,0.156
0,0,3,10,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,12,189,481,798,1254,1875,2704,3751,4649,4855
0,0,1,12,0.78,0.87,0.85,0.8,0.75,0.69,0.55,0.51,0.47
0,0,2,12,0.491,0.671,0.61,0.535,0.443,0.343,0.222,0.171,0.141
0,0,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,0,14,164,429,784,1347,2150,3204,4494,5716,6445
0,0,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,14,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,14,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
0,0,0,16,314,750,1299,2077,3169,4638,6524,8213,8939
0,0,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,16,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,16,0.5,0.53,0.55,0.51,0.51,0.45,0.39,0.3,0.23
0,0,0,18,342,892,1531,2472,3789,5665,8479,11128,12265
0,0,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,18,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,18,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
0,0,0,20,601,1238,2036,3216,4920,7256,10334,14150,15439
0,0,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,20,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,20,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
0,0,0,24,756,1586,2708,4371,6850,10407,15308,21461,24078
0,0,1,24,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,24,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,24,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
0,0,0,30,1230,2161,3400,5568,8972,14541,21660,30337,30640
0,0,1,30,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,0,2,30,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
0,0,3,30,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
1,0,0,3,18,35,57,87,114,134,146,150,144
1,0,1,3,0.7,0.81,0.73,0.76,0.75,0.66,0.6,0.5,0.54
1,0,2,3,0.449,0.455,0.395,0.417,0.423,0.313,0.256,0.188,0.203
1,0,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,0,4,25,51,89,146,210,266,316,333,316
1,0,1,4,0.72,0.84,0.79,0.75,0.71,0.63,0.58,0.53,0.55
1,0,2,4,0.445,0.471,0.481,0.417,0.37,0.276,0.225,0.191,0.196
1,0,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,0,6,56,126,204,306,425,556,671,717,698
1,0,1,6,0.83,0.83,0.8,0.78,0.76,0.69,0.59,0.52,0.54
1,0,2,6,0.444,0.608,0.574,0.485,0.441,0.316,0.227,0.176,0.182
1,0,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,0,8,113,217,350,542,782,1072,1364,1533,1529
1,0,1,8,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48
1,0,2,8,0.413,0.567,0.534,0.449,0.409,0.295,0.213,0.164,0.17
1,0,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,0,10,159,318,533,827,1234,1762,2340,2753,2811
1,0,1,10,0.79,0.83,0.82,0.79,0.73,0.66,0.58,0.51,0.48
