Trim Type,Flow,Charac,Size,Coeff,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten
0,2,0,1,0,0.055466102,0.065550847,0.080677966,0.103584746,0.135711864,0.178644068,0.233389831,0.305423729,0.400508475,0.51
0,2,0,1,1,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
0,2,0,1,2,1,1,1,1,1,1,1,1,1,1
0,2,0,1,3,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
0,2,0,1.5,0,0.158785311,0.187655367,0.230960452,0.296536723,0.388508475,0.511412429,0.668135593,0.874350282,1.146553672,1.46
0,2,0,1.5,1,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
0,2,0,1.5,2,1,1,1,1,1,1,1,1,1,1
0,2,0,1.5,3,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
1,1,1,1,0,1.426211826,1.994520655,2.77680039,3.833171355,5.209885525,6.895578621,9.872444758,11.5399603,13,15
1,1,1,1,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
1,1,1,1,2,0.091,0.11,0.13,0.16,0.19,0.24,0.3,0.37,0.43,0.5
1,1,1,1,3,0.641,0.634,0.598,0.586,0.584,0.596,0.646,0.68,0.757,0.886
1,1,1,1.5,0,3.091223769,4.324466424,6.02451772,8.326595388,11.34196961,15.0660347,21.76390357,25.60576657,27.81990294,29.1562614
1,1,1,1.5,1,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
1,1,1,1.5,2,0.077,0.086,0.1,0.12,0.15,0.17,0.22,0.27,0.34,0.4
1,1,1,1.5,3,0.726,0.676,0.733,0.645,0.589,0.558,0.597,0.653,0.777,0.84
1,1,1,2,0,4.050806179,5.678239024,7.941220115,11.05681275,15.26553425,20.75410968,31.94505356,39.61366372,47,52
1,1,1,2,1,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1,1,2,2,0.069,0.085,0.11,0.13,0.18,0.23,0.3,0.37,0.44,0.5
1,1,1,2,3,0.655,0.581,0.52,0.559,0.552,0.529,0.653,0.801,0.903,0.899
1,1,1,3,0,7.947467818,11.14678773,15.60660051,21.77637314,30.1875296,41.34245685,65.08154354,82.48871604,94.69959865,105
1,1,1,3,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
1,1,1,3,2,0.062,0.081,0.1,0.12,0.16,0.2,0.26,0.33,0.4,0.46
1,1,1,3,3,0.619,0.595,0.598,0.619,0.594,0.563,0.586,0.729,0.778,0.781
1,1,1,4,0,7.955273861,11.16835591,15.66596168,21.93851357,30.62397271,42.48538398,69.83649029,92.88422014,111.488783,126.1386072
1,1,1,4,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
